ideology,State,Name,Twitter Handle
0.24631613600000002,NY-17,Nita M. Lowey,@NitaLowey
0.246632795,CA-06,Doris O. Matsui,@DorisMatsui
0.248470412,FL-27,Donna E. Shalala,@RepShalala
0.24885379,CA-51,Juan Vargas,@RepJuanVargas
0.249351498,MO-01,Wm. Lacy Clay Jr,@LacyClayMO1
0.250276497,CA-35,Norma J. Torres,@NormaJTorres
0.250339586,IL-05,Mike Quigley,@RepMikeQuigley
0.25052302600000004,KY-03,John A. Yarmuth,@RepJohnYarmuth
0.25226905,CA-15,Eric Swalwell,@RepSwalwell
0.253633145,SC-06,James E. Clyburn,@WhipClyburn
0.25387143,AZ-07,Ruben Gallego,@RepRubenGallego
0.255831593,MA-08,Stephen F. Lynch,@RepStephenLynch
0.257788687,CA-53,Susan A. Davis,@RepSusanDavis
0.25875660899999997,ME-01,Chellie Pingree,@chelliepingree
0.258935347,OH-03,Joyce Beatty,@RepBeatty
0.259890213,CA-31,Pete Aguilar,@RepPeteAguilar
0.260857985,MA-03,Lori Trahan,@RepLoriTrahan
0.26177295,CA-19,Zoe Lofgren,@RepZoeLofgren
0.262525983,VA-10,Jennifer Wexton,@RepWexton
0.26539383,CA-24,Salud O. Carbajal,@RepCarbajal
0.265396777,FL-05,"Al Lawson, Jr.",@RepAlLawsonJr
0.266402123,NY-25,Joseph Morelle,@RepJoeMorelle
0.269067606,NC-04,David E. Price,@RepDavidEPrice
0.269101493,NC-01,G. K. Butterfield,@GKButterfield
0.269189591,NJ-08,Albio Sires,@RepSires
0.269627913,WA-02,Rick Larsen,@RepRickLarsen
0.271169055,OR-04,Peter A. DeFazio,@RepPeterDeFazio
0.27145658699999997,TX-20,Joaquin Castro,@JoaquinCastrotx
0.273171989,TX-33,Marc A. Veasey,@RepVeasey
0.274000547,PA-07,Susan Wilk,@RepSusanWild
0.275667117,FL-21,Lois Frankel,@RepLoisFrankel
0.27604686300000003,VT - At Large,Peter Welch,@PeterWelch
0.276690015,NY-26,Brian Higgins,@RepBrianHiggins
0.277104623,OH-09,Marcy Kaptur,@RepMarcyKaptur
0.277149713,VA-11,Gerald E. Connolly,@GerryConnolly
0.27774059,CA-49,Mike Levin,@RepMikeLevin
0.278042646,HI-01,Ed Case,@RepEdCase
0.281630922,NJ-09,"Bill Pascrell, Jr.",@BillPascrell
0.282401235,CT-01,John B. Larson,@RepJohnLarson
0.282740386,CA-05,Mike Thompson,@RepThompson
0.283273979,CT-04,James A. Himes,@jahimes
0.286936666,TX-35,Lloyd Doggett,@RepLloydDoggett
0.287487736,IL-14,Lauren Underwood,@RepUnderwood
0.287575495,CO-02,Joe Neguse,@RepJoeNeguse
0.290760992,PA-02,Brendan Boyle,@CongBoyle
0.290963394,DE - At Large,Lisa Blunt Rochester,@RepLBR
0.29157802,NY-18,Sean Patrick Maloney,@RepSeanMaloney
0.293357315,FL-22,Theodore E. Deutch,@RepTedDeutch
0.293467425,CA-03,John Garamendi,@RepGaramendi
0.295717511,GA-13,David Scott,@repdavidscott
0.29604573,MA-09,William R. Keating,@USRepKeating
0.29788418,PA-08,Matt Cartwright,@RepCartwright
0.299631964,IL-11,Bill Foster,@RepBillFoster
0.302096001,MI-05,Daniel T. Kildee,@RepDanKildee
0.305698925,HI-02,Tulsi Gabbard,@TulsiPress
0.305799995,OH-13,Tim Ryan,@RepTimRyan
0.30834113399999996,WA-08,Kim Schrier,@RepKimSchrier
0.309226526,CA-39,Gilbert Ray Jr. Cisneros,@RepGilCisneros
0.310149675,GA-06,Lucy McBath,@RepLucyMcBath
0.310892447,CA-21,TJ Cox,@RepTjCox
0.311382232,NJ-07,Tom Malinowski,@RepMalinowski
0.312023215,IL-08,Raja Krishnamoorthi,@CongressmanRaja
0.31271378,WA-10,Denny Heck,@RepDennyHeck
0.312906005,MD-05,Steny H. Hoyer,@LeaderHoyer
0.313338613,MA-01,Richard E. Neal,@RepRichardNeal
0.313638038,MA-06,Seth Moulton,@teammoulton
0.316697463,FL-13,Charlie Crist,@RepCharlieCrist
0.318143254,CA-30,Brad Sherman,@BradSherman
